Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L137,%718,Softmax,1,12,768,768,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,768,768,Softmax_2670_2,NA,NA,NA,NA,NA
L138,%722,MatMul,1,12,768,768,1,12,768,64,NA,NA,NA,NA,8,1,12,768,64,MatMul_2671,NA,NA,NA,NA,NA
L139,%725,Gemm,768,768,NA,NA,768,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_2712,NA,NA,NA,NA,NA
L140,%727,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_2717,NA,NA,NA,NA,NA
L141,%Y_60,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_2728_71,NA,NA,NA,NA,NA
L142,%729,Gemm,768,768,NA,NA,768,3072,NA,NA,3072,NA,NA,NA,8,768,3072,NA,NA,Gemm_2744,NA,NA,NA,NA,NA
L143,%731,Gelu,1,768,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,768,3072,NA,Mul_2761_36,NA,NA,NA,NA,NA
L144,%733,Gemm,768,3072,NA,NA,3072,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_2777,NA,NA,NA,NA,NA
L145,%735,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_2782,NA,NA,NA,NA,NA
L146,%Y_63,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_2793_31,NA,NA,NA,NA,NA
L147,%737,Gemm,768,768,NA,NA,768,2304,NA,NA,2304,NA,NA,NA,8,768,2304,NA,NA,Gemm_2809,NA,NA,NA,NA,NA
L148,%745,MatMul,1,12,768,64,1,12,64,768,NA,NA,NA,NA,8,1,12,768,768,MatMul_2889,NA,NA,NA,NA,NA
L149,%748,Add,1,12,768,768,1,1,1,768,NA,NA,NA,NA,8,1,12,768,768,Add_2914,NA,NA,NA,NA,NA
L150,%749,Softmax,1,12,768,768,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,768,768,Softmax_2915_58,NA,NA,NA,NA,NA
L151,%753,MatMul,1,12,768,768,1,12,768,64,NA,NA,NA,NA,8,1,12,768,64,MatMul_2916,NA,NA,NA,NA,NA
L152,%756,Gemm,768,768,NA,NA,768,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_2957,NA,NA,NA,NA,NA
L153,%758,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_2962,NA,NA,NA,NA,NA
L154,%Y_66,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_2973_8,NA,NA,NA,NA,NA
L155,%760,Gemm,768,768,NA,NA,768,3072,NA,NA,3072,NA,NA,NA,8,768,3072,NA,NA,Gemm_2989,NA,NA,NA,NA,NA
L156,%762,Gelu,1,768,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,768,3072,NA,Mul_3006_34,NA,NA,NA,NA,NA
L157,%764,Gemm,768,3072,NA,NA,3072,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_3022,NA,NA,NA,NA,NA
L158,%766,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_3027,NA,NA,NA,NA,NA
L159,%Y_69,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_3038_49,NA,NA,NA,NA,NA
L160,%767,MatMul,1,768,768,NA,768,50257,NA,NA,NA,NA,NA,NA,8,1,768,50257,NA,MatMul_3044,NA,NA,NA,NA,NA
L161,%770,Softmax,1,1,50257,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,50257,NA,LogSoftmax_3092_32,NA,NA,NA,NA,NA
L162,%854,Add,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,add_2,NA,NA,NA,NA,NA
