Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L222,%517,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/output/Add-Initializer_vit.encoder.layer.10.output.dense.bias-/vit/encoder/layer.10/output/dense/Add_37,NA,NA,NA,NA,NA
L223,%Y_63,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/layernorm_before/Add_1_8,NA,NA,NA,NA,NA
L224,%518,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/attention/attention/query/MatMul,NA,NA,NA,NA,NA
L225,%519,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/attention/attention/key/MatMul,NA,NA,NA,NA,NA
L226,%520,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/attention/attention/value/MatMul,NA,NA,NA,NA,NA
L227,%521,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/attention/attention/query/Add_4,NA,NA,NA,NA,NA
L228,%522,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/attention/attention/key/Add_107,NA,NA,NA,NA,NA
L229,%523,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/attention/attention/value/Add_117,NA,NA,NA,NA,NA
L230,%532,MatMul,1,12,197,64,1,12,64,197,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.11/attention/attention/MatMul,NA,NA,NA,NA,NA
L231,%533,Softmax,1,12,197,197,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.11/attention/attention/Softmax,NA,NA,NA,NA,NA
L232,%534,MatMul,1,12,197,197,1,12,197,64,NA,NA,NA,NA,8,1,12,197,64,/vit/encoder/layer.11/attention/attention/MatMul_1,NA,NA,NA,NA,NA
L233,%537,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/attention/output/dense/MatMul,NA,NA,NA,NA,NA
L234,%538,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/Add-Initializer_vit.encoder.layer.11.attention.output.dense.bias-/vit/encoder/layer.11/attention/output/dense/Add_132,NA,NA,NA,NA,NA
L235,%539,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/Add-Initializer_vit.encoder.layer.11.attention.output.dense.bias-/vit/encoder/layer.11/attention/output/dense/Add_124,NA,NA,NA,NA,NA
L236,%Y_66,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/layernorm_after/Add_1_42,NA,NA,NA,NA,NA
L237,%540,MatMul,1,197,768,NA,768,3072,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.11/intermediate/dense/MatMul,NA,NA,NA,NA,NA
L238,%541,Add,1,197,3072,NA,3072,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.11/intermediate/dense/Add_25,NA,NA,NA,NA,NA
L239,%542,Gelu,1,197,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.11/intermediate/intermediate_act_fn/Mul_1_77,NA,NA,NA,NA,NA
L240,%543,MatMul,1,197,3072,NA,3072,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/output/dense/MatMul,NA,NA,NA,NA,NA
L241,%544,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/output/Add-Initializer_vit.encoder.layer.11.output.dense.bias-/vit/encoder/layer.11/output/dense/Add_45,NA,NA,NA,NA,NA
L242,%545,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.11/output/Add-Initializer_vit.encoder.layer.11.output.dense.bias-/vit/encoder/layer.11/output/dense/Add_110,NA,NA,NA,NA,NA
L243,%Y_69,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/layernorm/Add_1_52,NA,NA,NA,NA,NA
L244,%547,Gemm,1,768,NA,NA,1000,768,NA,NA,1000,NA,NA,NA,8,1,1000,NA,NA,/classifier/Gemm,NA,NA,NA,NA,NA
