Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz),wrap_Auto,wrap_n_SA,wrap_SA_size_y,wrap_SA_size_x,wrap_Temporal,layer_macs,num_adders_tile,num_adder_stages
C1,T513,SA,16,16,2,8,1000000000.0,{'L196': 1024.0},{'L196': 2},{'L196': 128},{'L196': 1536.0},{'L196': 1},{'L196': 402653184.0},256.0,1.0
C1,T518,SA,16,16,2,8,1000000000.0,{'L198': 2048.0},{'L198': 2},{'L198': 128},{'L198': 512.0},{'L198': 1},{'L198': 268435456.0},256.0,1.0
C1,T521,SA,16,16,2,8,1000000000.0,{'L199': 1024.0},{'L199': 2},{'L199': 128},{'L199': 512.0},{'L199': 1},{'L199': 134217728.0},256.0,1.0
C1,T524,SA,16,16,2,8,1000000000.0,{'L200': 1024.0},{'L200': 2},{'L200': 128},{'L200': 512.0},{'L200': 1},{'L200': 134217728.0},256.0,1.0
C1,T531,SA,16,16,2,8,1000000000.0,{'L203': 1024.0},{'L203': 2},{'L203': 128},{'L203': 1024.0},{'L203': 1},{'L203': 268435456.0},256.0,1.0
C1,T534,SA,16,16,2,8,1000000000.0,{'L204': 1024.0},{'L204': 2},{'L204': 128},{'L204': 1024.0},{'L204': 1},{'L204': 268435456.0},256.0,1.0
C1,T539,SA,16,16,2,8,1000000000.0,{'L206': 3072.0},{'L206': 2},{'L206': 128},{'L206': 512.0},{'L206': 1},{'L206': 402653184.0},256.0,1.0
C1,T542,SA,16,16,2,8,1000000000.0,{'L207': 3072.0},{'L207': 2},{'L207': 128},{'L207': 512.0},{'L207': 1},{'L207': 402653184.0},256.0,1.0
C1,T547,SA,16,16,2,8,1000000000.0,{'L209': 1024.0},{'L209': 2},{'L209': 128},{'L209': 1536.0},{'L209': 1},{'L209': 402653184.0},256.0,1.0
C1,T552,SA,16,16,2,8,1000000000.0,{'L211': 2048.0},{'L211': 2},{'L211': 128},{'L211': 512.0},{'L211': 1},{'L211': 268435456.0},256.0,1.0
C1,T555,SA,16,16,2,8,1000000000.0,{'L212': 1024.0},{'L212': 2},{'L212': 128},{'L212': 512.0},{'L212': 1},{'L212': 134217728.0},256.0,1.0
C1,T558,SA,16,16,2,8,1000000000.0,{'L213': 1024.0},{'L213': 2},{'L213': 128},{'L213': 512.0},{'L213': 1},{'L213': 134217728.0},256.0,1.0
C1,T565,SA,16,16,2,8,1000000000.0,{'L216': 1024.0},{'L216': 2},{'L216': 128},{'L216': 1024.0},{'L216': 1},{'L216': 268435456.0},256.0,1.0
C1,T568,SA,16,16,2,8,1000000000.0,{'L217': 1024.0},{'L217': 2},{'L217': 128},{'L217': 1024.0},{'L217': 1},{'L217': 268435456.0},256.0,1.0
C1,T573,SA,16,16,2,8,1000000000.0,{'L219': 3072.0},{'L219': 2},{'L219': 128},{'L219': 512.0},{'L219': 1},{'L219': 402653184.0},256.0,1.0
C1,T576,SA,16,16,2,8,1000000000.0,{'L220': 3072.0},{'L220': 2},{'L220': 128},{'L220': 512.0},{'L220': 1},{'L220': 402653184.0},256.0,1.0
C1,T581,SA,16,16,2,8,1000000000.0,{'L222': 1024.0},{'L222': 2},{'L222': 128},{'L222': 1536.0},{'L222': 1},{'L222': 402653184.0},256.0,1.0
C1,T586,SA,16,16,2,8,1000000000.0,{'L224': 2048.0},{'L224': 2},{'L224': 128},{'L224': 512.0},{'L224': 1},{'L224': 268435456.0},256.0,1.0
C1,T589,SA,16,16,2,8,1000000000.0,{'L225': 1024.0},{'L225': 2},{'L225': 128},{'L225': 512.0},{'L225': 1},{'L225': 134217728.0},256.0,1.0
C1,T592,SA,16,16,2,8,1000000000.0,{'L226': 1024.0},{'L226': 2},{'L226': 128},{'L226': 512.0},{'L226': 1},{'L226': 134217728.0},256.0,1.0
C1,T599,SA,16,16,2,8,1000000000.0,{'L229': 1024.0},{'L229': 2},{'L229': 128},{'L229': 1024.0},{'L229': 1},{'L229': 268435456.0},256.0,1.0
C1,T602,SA,16,16,2,8,1000000000.0,{'L230': 1024.0},{'L230': 2},{'L230': 128},{'L230': 1024.0},{'L230': 1},{'L230': 268435456.0},256.0,1.0
C1,T607,SA,16,16,2,8,1000000000.0,{'L232': 3072.0},{'L232': 2},{'L232': 128},{'L232': 512.0},{'L232': 1},{'L232': 402653184.0},256.0,1.0
C1,T610,SA,16,16,2,8,1000000000.0,{'L233': 3072.0},{'L233': 2},{'L233': 128},{'L233': 512.0},{'L233': 1},{'L233': 402653184.0},256.0,1.0
C1,T615,SA,16,16,2,8,1000000000.0,{'L235': 1024.0},{'L235': 2},{'L235': 128},{'L235': 1536.0},{'L235': 1},{'L235': 402653184.0},256.0,1.0
C1,T620,SA,16,16,2,8,1000000000.0,{'L237': 2048.0},{'L237': 2},{'L237': 128},{'L237': 512.0},{'L237': 1},{'L237': 268435456.0},256.0,1.0
C1,T623,SA,16,16,2,8,1000000000.0,{'L238': 1024.0},{'L238': 2},{'L238': 128},{'L238': 512.0},{'L238': 1},{'L238': 134217728.0},256.0,1.0
C1,T626,SA,16,16,2,8,1000000000.0,{'L239': 1024.0},{'L239': 2},{'L239': 128},{'L239': 512.0},{'L239': 1},{'L239': 134217728.0},256.0,1.0
C1,T633,SA,16,16,2,8,1000000000.0,{'L242': 1024.0},{'L242': 2},{'L242': 128},{'L242': 1024.0},{'L242': 1},{'L242': 268435456.0},256.0,1.0
C1,T636,SA,16,16,2,8,1000000000.0,{'L243': 1024.0},{'L243': 2},{'L243': 128},{'L243': 1024.0},{'L243': 1},{'L243': 268435456.0},256.0,1.0
C1,T641,SA,16,16,2,8,1000000000.0,{'L245': 3072.0},{'L245': 2},{'L245': 128},{'L245': 512.0},{'L245': 1},{'L245': 402653184.0},256.0,1.0
C1,T644,SA,16,16,2,8,1000000000.0,{'L246': 3072.0},{'L246': 2},{'L246': 128},{'L246': 512.0},{'L246': 1},{'L246': 402653184.0},256.0,1.0
C1,T649,SA,16,16,2,8,1000000000.0,{'L248': 1024.0},{'L248': 2},{'L248': 128},{'L248': 1536.0},{'L248': 1},{'L248': 402653184.0},256.0,1.0
C1,T654,SA,16,16,2,8,1000000000.0,{'L250': 2048.0},{'L250': 2},{'L250': 128},{'L250': 512.0},{'L250': 1},{'L250': 268435456.0},256.0,1.0
C1,T657,SA,16,16,2,8,1000000000.0,{'L251': 1024.0},{'L251': 2},{'L251': 128},{'L251': 512.0},{'L251': 1},{'L251': 134217728.0},256.0,1.0
C1,T660,SA,16,16,2,8,1000000000.0,{'L252': 1024.0},{'L252': 2},{'L252': 128},{'L252': 512.0},{'L252': 1},{'L252': 134217728.0},256.0,1.0
C1,T667,SA,16,16,2,8,1000000000.0,{'L255': 1024.0},{'L255': 2},{'L255': 128},{'L255': 1024.0},{'L255': 1},{'L255': 268435456.0},256.0,1.0
C1,T670,SA,16,16,2,8,1000000000.0,{'L256': 1024.0},{'L256': 2},{'L256': 128},{'L256': 1024.0},{'L256': 1},{'L256': 268435456.0},256.0,1.0
C1,T675,SA,16,16,2,8,1000000000.0,{'L258': 3072.0},{'L258': 2},{'L258': 128},{'L258': 512.0},{'L258': 1},{'L258': 402653184.0},256.0,1.0
C1,T678,SA,16,16,2,8,1000000000.0,{'L259': 3072.0},{'L259': 2},{'L259': 128},{'L259': 512.0},{'L259': 1},{'L259': 402653184.0},256.0,1.0
C1,T683,SA,16,16,2,8,1000000000.0,{'L261': 1024.0},{'L261': 2},{'L261': 128},{'L261': 1536.0},{'L261': 1},{'L261': 402653184.0},256.0,1.0
C1,T688,SA,16,16,2,8,1000000000.0,{'L263': 2048.0},{'L263': 2},{'L263': 128},{'L263': 512.0},{'L263': 1},{'L263': 268435456.0},256.0,1.0
C1,T691,SA,16,16,2,8,1000000000.0,{'L264': 1024.0},{'L264': 2},{'L264': 128},{'L264': 512.0},{'L264': 1},{'L264': 134217728.0},256.0,1.0
