Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz),Next Layer Type,mem_place,Accesses_r,Accesses_w,ddr_reuse_mul_r,dim1,dim2,dim3,dim4,mem_req_layer,DDR_access_layer,ddr_reuse_mul_w,F_non_zeros_r,F_non_zeros_w,mem_req_tn,DDR_access_tn,NW_real,NB_real,F_actbitlines
C1,T88,Mem Tile,1,1024,320,4,1000000000.0,{'L34': 'GroupQueryAttention'},{'L34': 'W'},{'L34': 3277},{'L34': 3277},{'L34': 1},{'L34': 1.0},{'L34': 128.0},{'L34': 1024.0},{'L34': nan},{'L34': 1048576},{'L34': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T90,Mem Tile,1,1024,320,4,1000000000.0,{'L34': 'GroupQueryAttention'},{'L34': 'O'},{'L34': 6554},{'L34': 6554},{'L34': 1},{'L34': 1},{'L34': 128},{'L34': 2048.0},{'L34': nan},{'L34': 2097152},{'L34': True},1.0,0.5,0.5,2097152.0,True,1024.0,320.0,1.0
C1,T91,Mem Tile,1,1024,320,4,1000000000.0,{'L35': 'MatMulInteger'},{'L35': 'W'},{'L35': 52429},{'L35': 52429},{'L35': 1},{'L35': 2048.0},{'L35': 1024.0},{'L35': nan},{'L35': nan},{'L35': 16777216},{'L35': True},1.0,0.5,0.5,16777216.0,True,1024.0,320.0,1.0
C1,T93,Mem Tile,1,1024,320,4,1000000000.0,{'L35': 'MatMulInteger'},{'L35': 'O'},{'L35': 3277},{'L35': 3277},{'L35': 1},{'L35': 1},{'L35': 128},{'L35': 1024.0},{'L35': nan},{'L35': 1048576},{'L35': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T95,Mem Tile,1,1024,320,4,1000000000.0,{'L36': 'SkipLayerNorm'},{'L36': 'O'},{'L36': 3277},{'L36': 3277},{'L36': 1},{'L36': 1},{'L36': 128},{'L36': 1024.0},{'L36': nan},{'L36': 1048576},{'L36': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T96,Mem Tile,1,1024,320,4,1000000000.0,{'L37': 'MatMulInteger'},{'L37': 'W'},{'L37': 78644},{'L37': 78644},{'L37': 1},{'L37': 1024.0},{'L37': 3072.0},{'L37': nan},{'L37': nan},{'L37': 25165824},{'L37': True},1.0,0.5,0.5,25165824.0,True,1024.0,320.0,1.0
C1,T98,Mem Tile,1,1024,320,4,1000000000.0,{'L37': 'MatMulInteger'},{'L37': 'O'},{'L37': 9831},{'L37': 9831},{'L37': 1},{'L37': 1},{'L37': 128},{'L37': 3072.0},{'L37': nan},{'L37': 3145728},{'L37': True},1.0,0.5,0.5,3145728.0,True,1024.0,320.0,1.0
C1,T99,Mem Tile,1,1024,320,4,1000000000.0,{'L38': 'MatMulInteger'},{'L38': 'W'},{'L38': 78644},{'L38': 78644},{'L38': 1},{'L38': 1024.0},{'L38': 3072.0},{'L38': nan},{'L38': nan},{'L38': 25165824},{'L38': True},1.0,0.5,0.5,25165824.0,True,1024.0,320.0,1.0
C1,T101,Mem Tile,1,1024,320,4,1000000000.0,{'L38': 'MatMulInteger'},{'L38': 'O'},{'L38': 9831},{'L38': 9831},{'L38': 1},{'L38': 1},{'L38': 128},{'L38': 3072.0},{'L38': nan},{'L38': 3145728},{'L38': True},1.0,0.5,0.5,3145728.0,True,1024.0,320.0,1.0
C1,T103,Mem Tile,1,1024,320,4,1000000000.0,{'L39': 'Sigmoid'},{'L39': 'O'},{'L39': 9831},{'L39': 9831},{'L39': 1},{'L39': 1},{'L39': 128},{'L39': 3072.0},{'L39': nan},{'L39': 3145728},{'L39': True},1.0,0.5,0.5,3145728.0,True,1024.0,320.0,1.0
C1,T104,Mem Tile,1,1024,320,4,1000000000.0,{'L40': 'MatMulInteger'},{'L40': 'W'},{'L40': 78644},{'L40': 78644},{'L40': 1},{'L40': 3072.0},{'L40': 1024.0},{'L40': nan},{'L40': nan},{'L40': 25165824},{'L40': True},1.0,0.5,0.5,25165824.0,True,1024.0,320.0,1.0
C1,T106,Mem Tile,1,1024,320,4,1000000000.0,{'L40': 'MatMulInteger'},{'L40': 'O'},{'L40': 3277},{'L40': 3277},{'L40': 1},{'L40': 1},{'L40': 128},{'L40': 1024.0},{'L40': nan},{'L40': 1048576},{'L40': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T108,Mem Tile,1,1024,320,4,1000000000.0,{'L41': 'SkipLayerNorm'},{'L41': 'O'},{'L41': 3277},{'L41': 3277},{'L41': 1},{'L41': 1},{'L41': 128},{'L41': 1024.0},{'L41': nan},{'L41': 1048576},{'L41': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T109,Mem Tile,1,1024,320,4,1000000000.0,{'L42': 'MatMulInteger'},{'L42': 'W'},{'L42': 52429},{'L42': 52429},{'L42': 1},{'L42': 1024.0},{'L42': 2048.0},{'L42': nan},{'L42': nan},{'L42': 16777216},{'L42': True},1.0,0.5,0.5,16777216.0,True,1024.0,320.0,1.0
C1,T111,Mem Tile,1,1024,320,4,1000000000.0,{'L42': 'MatMulInteger'},{'L42': 'O'},{'L42': 6554},{'L42': 6554},{'L42': 1},{'L42': 1},{'L42': 128},{'L42': 2048.0},{'L42': nan},{'L42': 2097152},{'L42': True},1.0,0.5,0.5,2097152.0,True,1024.0,320.0,1.0
C1,T112,Mem Tile,1,1024,320,4,1000000000.0,{'L43': 'MatMulInteger'},{'L43': 'W'},{'L43': 26215},{'L43': 26215},{'L43': 1},{'L43': 1024.0},{'L43': 1024.0},{'L43': nan},{'L43': nan},{'L43': 8388608},{'L43': True},1.0,0.5,0.5,8388608.0,True,1024.0,320.0,1.0
