Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz)
C1,T255,Mem Tile,1,1024,320,4,2000000000.0
C1,T257,Mem Tile,2,1024,320,4,2000000000.0
C1,T259,Mem Tile,2,1024,320,4,2000000000.0
C1,T261,Mem Tile,2,1024,320,4,2000000000.0
C1,T262,Mem Tile,1,1024,320,4,2000000000.0
C1,T264,Mem Tile,2,1024,320,4,2000000000.0
C1,T266,Mem Tile,2,1024,320,4,2000000000.0
C1,T267,Mem Tile,2,1024,320,4,2000000000.0
C1,T269,Mem Tile,1,1024,320,4,2000000000.0
C1,T271,Mem Tile,1,1024,320,4,2000000000.0
C1,T273,Mem Tile,1,1024,320,4,2000000000.0
C1,T274,Mem Tile,1,1024,320,4,2000000000.0
C1,T276,Mem Tile,2,1024,320,4,2000000000.0
C1,T278,Mem Tile,2,1024,320,4,2000000000.0
C1,T280,Mem Tile,2,1024,320,4,2000000000.0
C1,T281,Mem Tile,1,1024,320,4,2000000000.0
C1,T283,Mem Tile,2,1024,320,4,2000000000.0
C1,T285,Mem Tile,2,1024,320,4,2000000000.0
C1,T286,Mem Tile,2,1024,320,4,2000000000.0
C1,T288,Mem Tile,1,1024,320,4,2000000000.0
C1,T290,Mem Tile,1,1024,320,4,2000000000.0
C1,T292,Mem Tile,1,1024,320,4,2000000000.0
C1,T293,Mem Tile,1,1024,320,4,2000000000.0
C1,T295,Mem Tile,2,1024,320,4,2000000000.0
C1,T297,Mem Tile,2,1024,320,4,2000000000.0
C1,T299,Mem Tile,2,1024,320,4,2000000000.0
C1,T300,Mem Tile,1,1024,320,4,2000000000.0
C1,T302,Mem Tile,2,1024,320,4,2000000000.0
C1,T304,Mem Tile,2,1024,320,4,2000000000.0
C1,T305,Mem Tile,2,1024,320,4,2000000000.0
C1,T307,Mem Tile,1,1024,320,4,2000000000.0
C1,T309,Mem Tile,1,1024,320,4,2000000000.0
C1,T310,Mem Tile,1,1024,320,4,2000000000.0
C1,T312,Mem Tile,2,1024,320,4,2000000000.0
C1,T314,Mem Tile,2,1024,320,4,2000000000.0
C1,T316,Mem Tile,2,1024,320,4,2000000000.0
C1,T317,Mem Tile,32,1024,320,4,2000000000.0
C1,T319,Mem Tile,1,1024,320,4,2000000000.0
