freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,2d NoC latency,3d NoC latency,network_latency,network_energy,peak_temperature
0.75,0.75,256,225,4,2,32,18,105954937.1958528,1022553256.9838592,264254022929.84793,132733.06648020537,25379672.25,24904340.444444444,50284012.69444444,1725508689.5937328,NA
0.75,0.75,256,169,4,3,32,1458,105954937.1958528,1022553256.9838592,297726199167.62866,99697.9586774781,13592703.333333334,570247.3068129858,14162950.64014632,1203639835.113208,NA
0.75,0.75,256,169,4,3,32,648,105954937.1958528,1022553256.9838592,297726199167.62866,99697.9586774781,13592703.333333334,1277764.7736625515,14870468.106995886,1175710467.1683805,NA
0.75,0.75,256,169,4,3,32,338,105954937.1958528,1022553256.9838592,297726199167.62866,99697.9586774781,13592703.333333334,2445796.5680473372,16038499.901380671,1165351445.0761552,NA
0.75,0.75,256,169,4,3,32,242,105954937.1958528,1022553256.9838592,297726199167.62866,99697.9586774781,13592703.333333334,3414350.5785123967,17007053.91184573,1162180534.4778347,NA
0.75,0.75,256,169,4,3,32,50,105954937.1958528,1022553256.9838592,297726199167.62866,99697.9586774781,13592703.333333334,16509200.799999999,30101904.133333337,1155891269.2098103,NA
0.75,0.75,256,169,4,3,32,18,105954937.1958528,1022553256.9838592,297726199167.62866,99697.9586774781,13592703.333333334,45851365.18518519,59444068.518518515,1154849871.1373687,NA
0.75,0.75,256,121,4,4,32,1458,105954937.1958528,1022553256.9838592,284219882440.1031,71381.5622865412,13500111.416666666,574435.8994055784,14074547.316072246,1144824269.3840437,NA
0.75,0.75,256,121,4,4,32,648,105954937.1958528,1022553256.9838592,284219882440.1031,71381.5622865412,13500111.416666666,1284305.7736625515,14784417.190329218,1117119914.124916,NA
0.75,0.75,256,121,4,4,32,338,105954937.1958528,1022553256.9838592,284219882440.1031,71381.5622865412,13500111.416666666,2456221.1282051285,15956332.544871794,1107003689.2545702,NA
0.75,0.75,256,121,4,4,32,242,105954937.1958528,1022553256.9838592,284219882440.1031,71381.5622865412,13500111.416666666,3427995.4600550965,16928106.876721766,1103925556.2078638,NA
0.75,0.75,256,121,4,4,32,50,105954937.1958528,1022553256.9838592,284219882440.1031,71381.5622865412,13500111.416666666,16566384.426666668,30066495.843333334,1097846799.5186372,NA
0.75,0.75,256,121,4,4,32,18,105954937.1958528,1022553256.9838592,284219882440.1031,71381.5622865412,13500111.416666666,46006107.85185185,59506219.268518515,1096843720.9191248,NA
0.75,0.75,512,144,4,2,32,1458,125811562.76847866,649270428.62039,63812211556.66534,32144.451487567032,18634859.916666668,212170.98491083676,18847030.901577502,808939149.3244449,NA
0.75,0.75,512,144,4,2,32,648,125811562.76847866,649270428.62039,63812211556.66534,32144.451487567032,18634859.916666668,475626.3827160494,19110486.299382716,803077266.2452365,NA
0.75,0.75,512,144,4,2,32,338,125811562.76847866,649270428.62039,63812211556.66534,32144.451487567032,18634859.916666668,910561.6252465482,19545421.541913215,800896117.0215988,NA
