Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L13,%250,Add,1,24,3136,NA,1,24,1,NA,NA,NA,NA,NA,8,1,24,3136,NA,/mobilenet_v2/layer.0/reduce_1x1/convolution/Conv_79,NA,NA,NA,NA,NA
L14,%252,MatMul,144,24,NA,NA,1,24,3136,NA,NA,NA,NA,NA,8,1,144,3136,NA,/mobilenet_v2/layer.1/expand_1x1/convolution/Conv_146,NA,NA,NA,NA,NA
L15,%253,Add,1,144,3136,NA,1,144,1,NA,NA,NA,NA,NA,8,1,144,3136,NA,/mobilenet_v2/layer.1/expand_1x1/convolution/Conv_6,NA,NA,NA,NA,NA
L16,%255,Clip,1,144,56,56,NA,NA,NA,NA,NA,NA,NA,NA,8,1,144,56,56,/mobilenet_v2/layer.1/expand_1x1/activation/Clip_39,NA,NA,NA,NA,NA
L17,%256,Conv,1,144,56,56,144,1,3,3,144,NA,NA,NA,8,1,144,56,56,/mobilenet_v2/layer.1/conv_3x3/convolution/Conv,"[1, 1]",144 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L18,%257,Clip,1,144,56,56,NA,NA,NA,NA,NA,NA,NA,NA,8,1,144,56,56,/mobilenet_v2/layer.1/conv_3x3/activation/Clip_141,NA,NA,NA,NA,NA
L19,%259,MatMul,24,144,NA,NA,1,144,3136,NA,NA,NA,NA,NA,8,1,24,3136,NA,/mobilenet_v2/layer.1/reduce_1x1/convolution/Conv_142,NA,NA,NA,NA,NA
L20,%260,Add,1,24,3136,NA,1,24,1,NA,NA,NA,NA,NA,8,1,24,3136,NA,/mobilenet_v2/layer.1/reduce_1x1/convolution/Conv_127,NA,NA,NA,NA,NA
L21,%262,Add,1,24,56,56,1,24,56,56,NA,NA,NA,NA,8,1,24,56,56,/mobilenet_v2/layer.1/Add,NA,NA,NA,NA,NA
L22,%264,MatMul,144,24,NA,NA,1,24,3136,NA,NA,NA,NA,NA,8,1,144,3136,NA,/mobilenet_v2/layer.2/expand_1x1/convolution/Conv_130,NA,NA,NA,NA,NA
L23,%265,Add,1,144,3136,NA,1,144,1,NA,NA,NA,NA,NA,8,1,144,3136,NA,/mobilenet_v2/layer.2/expand_1x1/convolution/Conv_111,NA,NA,NA,NA,NA
L24,%267,Clip,1,144,56,56,NA,NA,NA,NA,NA,NA,NA,NA,8,1,144,56,56,/mobilenet_v2/layer.2/expand_1x1/activation/Clip_151,NA,NA,NA,NA,NA
L25,%268,Conv,1,144,56,56,144,1,3,3,144,NA,NA,NA,8,1,144,28,28,/mobilenet_v2/layer.2/conv_3x3/convolution/Conv,"[1, 1]",144 : si64,"[3, 3]","[0, 0, 1, 1]","[2, 2]"
L26,%269,Clip,1,144,28,28,NA,NA,NA,NA,NA,NA,NA,NA,8,1,144,28,28,/mobilenet_v2/layer.2/conv_3x3/activation/Clip_74,NA,NA,NA,NA,NA
L27,%271,MatMul,32,144,NA,NA,1,144,784,NA,NA,NA,NA,NA,8,1,32,784,NA,/mobilenet_v2/layer.2/reduce_1x1/convolution/Conv_137,NA,NA,NA,NA,NA
L28,%272,Add,1,32,784,NA,1,32,1,NA,NA,NA,NA,NA,8,1,32,784,NA,/mobilenet_v2/layer.2/reduce_1x1/convolution/Conv_35,NA,NA,NA,NA,NA
L29,%274,MatMul,192,32,NA,NA,1,32,784,NA,NA,NA,NA,NA,8,1,192,784,NA,/mobilenet_v2/layer.3/expand_1x1/convolution/Conv_78,NA,NA,NA,NA,NA
L30,%275,Add,1,192,784,NA,1,192,1,NA,NA,NA,NA,NA,8,1,192,784,NA,/mobilenet_v2/layer.3/expand_1x1/convolution/Conv_88,NA,NA,NA,NA,NA
L31,%277,Clip,1,192,28,28,NA,NA,NA,NA,NA,NA,NA,NA,8,1,192,28,28,/mobilenet_v2/layer.3/expand_1x1/activation/Clip_42,NA,NA,NA,NA,NA
L32,%278,Conv,1,192,28,28,192,1,3,3,192,NA,NA,NA,8,1,192,28,28,/mobilenet_v2/layer.3/conv_3x3/convolution/Conv,"[1, 1]",192 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L33,%279,Clip,1,192,28,28,NA,NA,NA,NA,NA,NA,NA,NA,8,1,192,28,28,/mobilenet_v2/layer.3/conv_3x3/activation/Clip_60,NA,NA,NA,NA,NA
L34,%281,MatMul,32,192,NA,NA,1,192,784,NA,NA,NA,NA,NA,8,1,32,784,NA,/mobilenet_v2/layer.3/reduce_1x1/convolution/Conv_158,NA,NA,NA,NA,NA
L35,%282,Add,1,32,784,NA,1,32,1,NA,NA,NA,NA,NA,8,1,32,784,NA,/mobilenet_v2/layer.3/reduce_1x1/convolution/Conv_84,NA,NA,NA,NA,NA
L36,%284,Add,1,32,28,28,1,32,28,28,NA,NA,NA,NA,8,1,32,28,28,/mobilenet_v2/layer.3/Add,NA,NA,NA,NA,NA
L37,%286,MatMul,192,32,NA,NA,1,32,784,NA,NA,NA,NA,NA,8,1,192,784,NA,/mobilenet_v2/layer.4/expand_1x1/convolution/Conv_162,NA,NA,NA,NA,NA
L38,%287,Add,1,192,784,NA,1,192,1,NA,NA,NA,NA,NA,8,1,192,784,NA,/mobilenet_v2/layer.4/expand_1x1/convolution/Conv_143,NA,NA,NA,NA,NA
L39,%289,Clip,1,192,28,28,NA,NA,NA,NA,NA,NA,NA,NA,8,1,192,28,28,/mobilenet_v2/layer.4/expand_1x1/activation/Clip_5,NA,NA,NA,NA,NA
L40,%290,Conv,1,192,28,28,192,1,3,3,192,NA,NA,NA,8,1,192,28,28,/mobilenet_v2/layer.4/conv_3x3/convolution/Conv,"[1, 1]",192 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L41,%291,Clip,1,192,28,28,NA,NA,NA,NA,NA,NA,NA,NA,8,1,192,28,28,/mobilenet_v2/layer.4/conv_3x3/activation/Clip_148,NA,NA,NA,NA,NA
L42,%293,MatMul,32,192,NA,NA,1,192,784,NA,NA,NA,NA,NA,8,1,32,784,NA,/mobilenet_v2/layer.4/reduce_1x1/convolution/Conv_11,NA,NA,NA,NA,NA
L43,%294,Add,1,32,784,NA,1,32,1,NA,NA,NA,NA,NA,8,1,32,784,NA,/mobilenet_v2/layer.4/reduce_1x1/convolution/Conv_62,NA,NA,NA,NA,NA
L44,%296,Add,1,32,28,28,1,32,28,28,NA,NA,NA,NA,8,1,32,28,28,/mobilenet_v2/layer.4/Add,NA,NA,NA,NA,NA
L45,%298,MatMul,192,32,NA,NA,1,32,784,NA,NA,NA,NA,NA,8,1,192,784,NA,/mobilenet_v2/layer.5/expand_1x1/convolution/Conv_50,NA,NA,NA,NA,NA
L46,%299,Add,1,192,784,NA,1,192,1,NA,NA,NA,NA,NA,8,1,192,784,NA,/mobilenet_v2/layer.5/expand_1x1/convolution/Conv_66,NA,NA,NA,NA,NA
L47,%301,Clip,1,192,28,28,NA,NA,NA,NA,NA,NA,NA,NA,8,1,192,28,28,/mobilenet_v2/layer.5/expand_1x1/activation/Clip_129,NA,NA,NA,NA,NA
L48,%302,Conv,1,192,28,28,192,1,3,3,192,NA,NA,NA,8,1,192,14,14,/mobilenet_v2/layer.5/conv_3x3/convolution/Conv,"[1, 1]",192 : si64,"[3, 3]","[0, 0, 1, 1]","[2, 2]"
L49,%303,Clip,1,192,14,14,NA,NA,NA,NA,NA,NA,NA,NA,8,1,192,14,14,/mobilenet_v2/layer.5/conv_3x3/activation/Clip_108,NA,NA,NA,NA,NA
L50,%305,MatMul,64,192,NA,NA,1,192,196,NA,NA,NA,NA,NA,8,1,64,196,NA,/mobilenet_v2/layer.5/reduce_1x1/convolution/Conv_109,NA,NA,NA,NA,NA
L51,%306,Add,1,64,196,NA,1,64,1,NA,NA,NA,NA,NA,8,1,64,196,NA,/mobilenet_v2/layer.5/reduce_1x1/convolution/Conv_63,NA,NA,NA,NA,NA
L52,%308,MatMul,384,64,NA,NA,1,64,196,NA,NA,NA,NA,NA,8,1,384,196,NA,/mobilenet_v2/layer.6/expand_1x1/convolution/Conv_115,NA,NA,NA,NA,NA
L53,%309,Add,1,384,196,NA,1,384,1,NA,NA,NA,NA,NA,8,1,384,196,NA,/mobilenet_v2/layer.6/expand_1x1/convolution/Conv_95,NA,NA,NA,NA,NA
L54,%311,Clip,1,384,14,14,NA,NA,NA,NA,NA,NA,NA,NA,8,1,384,14,14,/mobilenet_v2/layer.6/expand_1x1/activation/Clip_90,NA,NA,NA,NA,NA
L55,%312,Conv,1,384,14,14,384,1,3,3,384,NA,NA,NA,8,1,384,14,14,/mobilenet_v2/layer.6/conv_3x3/convolution/Conv,"[1, 1]",384 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L56,%313,Clip,1,384,14,14,NA,NA,NA,NA,NA,NA,NA,NA,8,1,384,14,14,/mobilenet_v2/layer.6/conv_3x3/activation/Clip_72,NA,NA,NA,NA,NA
L57,%315,MatMul,64,384,NA,NA,1,384,196,NA,NA,NA,NA,NA,8,1,64,196,NA,/mobilenet_v2/layer.6/reduce_1x1/convolution/Conv_122,NA,NA,NA,NA,NA
L58,%316,Add,1,64,196,NA,1,64,1,NA,NA,NA,NA,NA,8,1,64,196,NA,/mobilenet_v2/layer.6/reduce_1x1/convolution/Conv_102,NA,NA,NA,NA,NA
L59,%318,Add,1,64,14,14,1,64,14,14,NA,NA,NA,NA,8,1,64,14,14,/mobilenet_v2/layer.6/Add,NA,NA,NA,NA,NA
L60,%320,MatMul,384,64,NA,NA,1,64,196,NA,NA,NA,NA,NA,8,1,384,196,NA,/mobilenet_v2/layer.7/expand_1x1/convolution/Conv_31,NA,NA,NA,NA,NA
L61,%321,Add,1,384,196,NA,1,384,1,NA,NA,NA,NA,NA,8,1,384,196,NA,/mobilenet_v2/layer.7/expand_1x1/convolution/Conv_32,NA,NA,NA,NA,NA
L62,%323,Clip,1,384,14,14,NA,NA,NA,NA,NA,NA,NA,NA,8,1,384,14,14,/mobilenet_v2/layer.7/expand_1x1/activation/Clip_3,NA,NA,NA,NA,NA
L63,%324,Conv,1,384,14,14,384,1,3,3,384,NA,NA,NA,8,1,384,14,14,/mobilenet_v2/layer.7/conv_3x3/convolution/Conv,"[1, 1]",384 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L64,%325,Clip,1,384,14,14,NA,NA,NA,NA,NA,NA,NA,NA,8,1,384,14,14,/mobilenet_v2/layer.7/conv_3x3/activation/Clip_155,NA,NA,NA,NA,NA
L65,%327,MatMul,64,384,NA,NA,1,384,196,NA,NA,NA,NA,NA,8,1,64,196,NA,/mobilenet_v2/layer.7/reduce_1x1/convolution/Conv_4,NA,NA,NA,NA,NA
L66,%328,Add,1,64,196,NA,1,64,1,NA,NA,NA,NA,NA,8,1,64,196,NA,/mobilenet_v2/layer.7/reduce_1x1/convolution/Conv_27,NA,NA,NA,NA,NA
