Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L121,%1051,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.7/post_feedforward_layernorm/LayerNorm,NA,NA,NA,NA,NA
L122,%1052:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.8/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L123,%1053,MatMulInteger,1,128,1152,NA,1152,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.8/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L124,%1057,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.8/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L125,%1061,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.8/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L126,%1066,SimplifiedLayerNormalization,1,512,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,512,256,NA,/model/layers.8/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L127,%1067,SimplifiedLayerNormalization,1,128,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.8/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L128,%1071:3,GroupQueryAttention,1,128,1024,NA,1,128,256,NA,1,128,256,NA,8,1,128,1024,NA,/model/layers.8/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L129,%1072,MatMulInteger,1,128,1024,NA,1024,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.8/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L130,%1076,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.8/post_attention_layernorm/LayerNorm,NA,NA,NA,NA,NA
